Account_ID,Account_Name,Account_Type,Category,Is_Active,Created_Date
ACC100094,Account_94,Equity,Long-Term Debt,Yes,2022-11-12
ACC100095,Account_95,Asset,Operating Expense,Yes,2019-11-18
ACC100096,Account_96,Equity,Inventory,Yes,2020-07-24
ACC100097,Account_97,Expense,Inventory,No,2016-05-30
ACC100098,Account_98,Expense,Sales Revenue,Yes,2019-08-06
ACC100099,Account_99,Expense,Sales Revenue,Yes,2017-02-21
ACC100100,Account_100,Expense,Operating Expense,Yes,2017-03-25
ACC100101,Account_101,Asset,Cash,Yes,2021-06-04
ACC100102,Account_102,Revenue,Service Revenue,Yes,2016-11-04
ACC100103,Account_103,Asset,Inventory,Yes,2020-10-22
ACC100104,Account_104,Liability,COGS,Yes,2018-10-09
ACC100105,Account_105,Equity,Sales Revenue,Yes,2017-11-09
ACC100106,Account_106,Asset,Cash,Yes,2020-08-21
ACC100107,Account_107,Asset,Sales Revenue,No,2017-07-14
ACC100108,Account_108,Liability,Operating Expense,Yes,2020-03-11
ACC100109,Account_109,Revenue,Operating Expense,Yes,2016-03-03
ACC100110,Account_110,Expense,Inventory,No,2017-01-15
ACC100111,Account_111,Revenue,Long-Term Debt,Yes,2017-05-10
ACC100112,Account_112,Asset,Fixed Assets,Yes,2015-05-15
ACC100113,Account_113,Equity,Service Revenue,Yes,2016-01-01
ACC100114,Account_114,Liability,Accounts Receivable,Yes,2021-01-22
ACC100115,Account_115,Liability,Sales Revenue,Yes,2019-01-08
ACC100116,Account_116,Asset,Service Revenue,Yes,2015-03-24
ACC100117,Account_117,Liability,Operating Expense,Yes,2015-02-12
ACC100118,Account_118,Liability,Long-Term Debt,Yes,2020-12-25
ACC100119,Account_119,Equity,Long-Term Debt,Yes,2016-05-13
ACC100120,Account_120,Asset,Operating Expense,No,2015-02-06
ACC100121,Account_121,Expense,Owner Equity,Yes,2020-04-22
ACC100122,Account_122,Revenue,Accounts Payable,Yes,2020-11-18
ACC100123,Account_123,Revenue,Sales Revenue,Yes,2022-04-16
ACC100124,Account_124,Equity,Fixed Assets,Yes,2019-01-02
ACC100125,Account_125,Expense,Accounts Payable,Yes,2021-01-07
ACC100126,Account_126,Asset,Accounts Payable,Yes,2015-07-12
ACC100127,Account_127,Equity,COGS,Yes,2020-08-23
ACC100128,Account_128,Revenue,Fixed Assets,Yes,2016-06-02
ACC100129,Account_129,Revenue,COGS,Yes,2015-10-12
ACC100130,Account_130,Equity,Fixed Assets,Yes,2021-03-25
ACC100131,Account_131,Equity,Service Revenue,Yes,2016-01-22
ACC100132,Account_132,Equity,Service Revenue,Yes,2016-11-23
ACC100133,Account_133,Equity,Service Revenue,Yes,2022-09-15
ACC100134,Account_134,Liability,Long-Term Debt,Yes,2019-10-28
ACC100135,Account_135,Asset,Long-Term Debt,Yes,2019-03-26
ACC100136,Account_136,Revenue,Long-Term Debt,Yes,2022-12-21
ACC100137,Account_137,Liability,Cash,Yes,2016-05-02
ACC100138,Account_138,Equity,Long-Term Debt,Yes,2018-12-14
ACC100139,Account_139,Equity,Accounts Receivable,Yes,2016-02-11
ACC100140,Account_140,Equity,COGS,Yes,2020-06-17
ACC100141,Account_141,Liability,Long-Term Debt,Yes,2017-04-24
ACC100142,Account_142,Asset,Accounts Payable,Yes,2016-09-12
ACC100143,Account_143,Expense,COGS,No,2021-07-03
ACC100144,Account_144,Revenue,Cash,Yes,2018-05-20
ACC100145,Account_145,Revenue,Owner Equity,Yes,2016-01-30
ACC100146,Account_146,Expense,Inventory,Yes,2020-11-09
ACC100147,Account_147,Equity,Cash,Yes,2015-02-20
ACC100148,Account_148,Expense,COGS,Yes,2020-08-11
ACC100149,Account_149,Equity,Sales Revenue,Yes,2019-09-20
ACC100150,Account_150,Asset,Service Revenue,Yes,2016-05-18
ACC100151,Account_151,Revenue,Accounts Payable,No,2018-10-18
ACC100152,Account_152,Liability,Inventory,Yes,2021-03-15
ACC100153,Account_153,Equity,Accounts Receivable,Yes,2016-01-16
ACC100154,Account_154,Equity,Accounts Receivable,Yes,2022-07-27
ACC100155,Account_155,Expense,Accounts Receivable,Yes,2018-01-25
ACC100156,Account_156,Asset,COGS,Yes,2022-08-10
ACC100157,Account_157,Asset,Sales Revenue,No,2020-04-22
ACC100158,Account_158,Revenue,Owner Equity,Yes,2019-05-26
ACC100159,Account_159,Liability,Long-Term Debt,Yes,2022-08-31
ACC100160,Account_160,Liability,Accounts Payable,Yes,2022-06-02
ACC100161,Account_161,Revenue,Accounts Payable,Yes,2015-08-25
ACC100162,Account_162,Expense,COGS,Yes,2022-08-02
ACC100163,Account_163,Liability,Operating Expense,Yes,2018-11-02
ACC100164,Account_164,Expense,Inventory,No,2017-08-05
ACC100165,Account_165,Asset,Sales Revenue,Yes,2022-10-28
ACC100166,Account_166,Liability,Owner Equity,Yes,2020-08-15
ACC100167,Account_167,Expense,Service Revenue,Yes,2023-03-03
ACC100168,Account_168,Asset,Operating Expense,Yes,2018-05-01
ACC100169,Account_169,Revenue,COGS,Yes,2018-07-17
ACC100170,Account_170,Revenue,Accounts Receivable,Yes,2020-01-27
ACC100171,Account_171,Asset,Cash,Yes,2015-01-22
ACC100172,Account_172,Equity,Cash,Yes,2016-11-20
ACC100173,Account_173,Asset,Inventory,Yes,2019-12-16
ACC100174,Account_174,Revenue,Cash,Yes,2022-08-30
ACC100175,Account_175,Liability,Inventory,Yes,2020-06-05
ACC100176,Account_176,Expense,Accounts Receivable,Yes,2016-01-13
ACC100177,Account_177,Equity,Service Revenue,Yes,2023-01-06
ACC100178,Account_178,Asset,Long-Term Debt,No,2017-09-24
ACC100179,Account_179,Equity,Operating Expense,Yes,2017-06-21
ACC100180,Account_180,Equity,Accounts Payable,Yes,2023-03-14
ACC100181,Account_181,Expense,Fixed Assets,Yes,2016-07-06
ACC100182,Account_182,Equity,Accounts Payable,Yes,2023-01-30
ACC100183,Account_183,Asset,Owner Equity,Yes,2016-05-05
ACC100184,Account_184,Liability,Fixed Assets,Yes,2019-07-13
ACC100185,Account_185,Liability,Owner Equity,Yes,2015-04-05
ACC100186,Account_186,Equity,Service Revenue,No,2019-01-20
ACC100187,Account_187,Asset,Long-Term Debt,Yes,2020-02-05
ACC100188,Account_188,Revenue,COGS,Yes,2021-02-28
ACC100189,Account_189,Expense,COGS,Yes,2018-04-18
ACC100190,Account_190,Liability,Owner Equity,Yes,2016-07-28
ACC100191,Account_191,Asset,Operating Expense,No,2021-07-04
ACC100192,Account_192,Revenue,Accounts Payable,Yes,2016-06-11
ACC100193,Account_193,Revenue,Long-Term Debt,Yes,2020-05-02
ACC100194,Account_194,Equity,Sales Revenue,Yes,2020-01-18
ACC100195,Account_195,Expense,COGS,Yes,2018-05-06
ACC100196,Account_196,Liability,Operating Expense,Yes,2017-12-30
ACC100197,Account_197,Asset,Cash,Yes,2019-11-03
ACC100198,Account_198,Liability,Operating Expense,No,2017-06-15
ACC100199,Account_199,Revenue,COGS,Yes,2021-03-16
ACC100200,Account_200,Liability,Fixed Assets,Yes,2016-11-01
ACC100201,Account_201,Expense,Long-Term Debt,Yes,2022-04-13
ACC100202,Account_202,Revenue,Fixed Assets,Yes,2015-03-29
ACC100203,Account_203,Expense,Cash,Yes,2015-09-15
ACC100204,Account_204,Expense,Owner Equity,Yes,2020-03-28
ACC100205,Account_205,Liability,Accounts Payable,No,2019-03-07
ACC100206,Account_206,Expense,Owner Equity,Yes,2017-03-09
ACC100207,Account_207,Revenue,Service Revenue,Yes,2016-09-14
ACC100208,Account_208,Liability,Owner Equity,Yes,2015-08-14
ACC100209,Account_209,Equity,Sales Revenue,Yes,2019-12-11
ACC100210,Account_210,Equity,Cash,Yes,2015-08-26
ACC100211,Account_211,Expense,Fixed Assets,Yes,2015-01-13
ACC100212,Account_212,Liability,Long-Term Debt,Yes,2015-06-08
ACC100213,Account_213,Liability,Sales Revenue,Yes,2023-01-10
ACC100214,Account_214,Revenue,Long-Term Debt,Yes,2020-09-10
ACC100215,Account_215,Asset,Service Revenue,No,2017-12-29
ACC100216,Account_216,Asset,COGS,Yes,2020-06-10
ACC100217,Account_217,Liability,Fixed Assets,Yes,2018-11-12
ACC100218,Account_218,Asset,Operating Expense,Yes,2016-08-19
ACC100219,Account_219,Revenue,Long-Term Debt,Yes,2020-09-16
ACC100220,Account_220,Expense,Accounts Payable,Yes,2021-09-02
ACC100221,Account_221,Liability,Service Revenue,Yes,2020-03-19
ACC100222,Account_222,Revenue,Cash,Yes,2022-07-17
ACC100223,Account_223,Liability,Service Revenue,Yes,2019-04-28
ACC100224,Account_224,Revenue,Fixed Assets,Yes,2018-01-03
ACC100225,Account_225,Equity,Inventory,No,2015-07-30
ACC100226,Account_226,Equity,Fixed Assets,Yes,2017-09-05
ACC100227,Account_227,Liability,Accounts Receivable,Yes,2020-04-12
ACC100228,Account_228,Revenue,Accounts Receivable,Yes,2017-07-31
ACC100229,Account_229,Expense,COGS,Yes,2015-02-18
ACC100230,Account_230,Expense,Inventory,Yes,2018-08-25
ACC100231,Account_231,Revenue,Accounts Receivable,Yes,2016-04-15
ACC100232,Account_232,Liability,COGS,Yes,2017-05-31
ACC100233,Account_233,Equity,COGS,No,2020-07-14
ACC100234,Account_234,Equity,Accounts Receivable,Yes,2017-04-29
ACC100235,Account_235,Equity,Fixed Assets,Yes,2021-12-20
ACC100236,Account_236,Asset,Accounts Receivable,No,2015-05-22
ACC100237,Account_237,Liability,Accounts Receivable,Yes,2020-04-17
ACC100238,Account_238,Liability,Inventory,No,2017-05-05
ACC100239,Account_239,Liability,Owner Equity,Yes,2021-02-20
ACC100240,Account_240,Liability,Accounts Payable,Yes,2017-10-18
ACC100241,Account_241,Expense,Long-Term Debt,Yes,2018-05-13
ACC100242,Account_242,Revenue,Owner Equity,Yes,2019-08-21
ACC100243,Account_243,Expense,Accounts Payable,Yes,2016-09-13
ACC100244,Account_244,Revenue,Service Revenue,Yes,2016-11-08
ACC100245,Account_245,Revenue,Service Revenue,Yes,2015-06-03
ACC100246,Account_246,Expense,Long-Term Debt,Yes,2018-04-02
ACC100247,Account_247,Revenue,Operating Expense,Yes,2017-09-28
ACC100248,Account_248,Expense,Inventory,Yes,2021-10-10
ACC100249,Account_249,Liability,Accounts Receivable,No,2017-06-24
ACC100250,Account_250,Revenue,Service Revenue,Yes,2017-06-29
ACC100251,Account_251,Equity,Cash,Yes,2020-03-18
ACC100252,Account_252,Liability,Long-Term Debt,Yes,2016-05-08
ACC100253,Account_253,Liability,Fixed Assets,No,2022-02-18
ACC100254,Account_254,Expense,Long-Term Debt,Yes,2019-08-30
ACC100255,Account_255,Asset,Sales Revenue,Yes,2020-04-27
ACC100256,Account_256,Liability,Service Revenue,Yes,2018-08-19
ACC100257,Account_257,Asset,Service Revenue,Yes,2022-06-24
ACC100258,Account_258,Expense,Operating Expense,Yes,2017-06-05
ACC100259,Account_259,Expense,Service Revenue,Yes,2015-05-29
ACC100260,Account_260,Expense,Sales Revenue,Yes,2019-02-05
ACC100261,Account_261,Asset,Owner Equity,Yes,2018-06-02
ACC100262,Account_262,Liability,Owner Equity,Yes,2017-10-16
ACC100263,Account_263,Equity,Long-Term Debt,Yes,2015-08-01
ACC100264,Account_264,Asset,COGS,Yes,2019-12-06
ACC100265,Account_265,Equity,Operating Expense,Yes,2020-04-22
ACC100266,Account_266,Asset,Sales Revenue,Yes,2022-08-07
ACC100267,Account_267,Expense,Sales Revenue,Yes,2021-03-15
ACC100268,Account_268,Liability,Accounts Receivable,Yes,2018-09-14
ACC100269,Account_269,Expense,Sales Revenue,Yes,2021-02-22
ACC100270,Account_270,Liability,Accounts Receivable,Yes,2017-04-25
ACC100271,Account_271,Asset,COGS,Yes,2020-01-11
ACC100272,Account_272,Asset,Service Revenue,Yes,2017-03-17
ACC100273,Account_273,Liability,Fixed Assets,No,2015-06-03
ACC100274,Account_274,Equity,Inventory,Yes,2017-07-24
ACC100275,Account_275,Expense,Accounts Receivable,Yes,2023-01-19
ACC100276,Account_276,Revenue,Operating Expense,Yes,2015-10-18
ACC100277,Account_277,Expense,COGS,Yes,2021-05-31
ACC100278,Account_278,Liability,Service Revenue,Yes,2016-04-30
ACC100279,Account_279,Asset,Cash,Yes,2023-01-26
ACC100280,Account_280,Asset,Sales Revenue,Yes,2022-12-30
ACC100281,Account_281,Expense,Cash,Yes,2021-07-04
ACC100282,Account_282,Equity,COGS,Yes,2018-06-17
ACC100283,Account_283,Asset,Owner Equity,Yes,2020-02-03
ACC100284,Account_284,Revenue,Cash,Yes,2021-03-18
ACC100285,Account_285,Revenue,COGS,No,2018-08-23
ACC100286,Account_286,Liability,Operating Expense,Yes,2020-12-20
ACC100287,Account_287,Asset,Accounts Payable,Yes,2022-08-06
ACC100288,Account_288,Liability,Accounts Receivable,Yes,2015-10-15
ACC100289,Account_289,Revenue,Inventory,Yes,2017-11-12
ACC100290,Account_290,Revenue,Service Revenue,Yes,2023-01-27
ACC100291,Account_291,Expense,Cash,Yes,2022-12-20
ACC100292,Account_292,Liability,Inventory,Yes,2017-08-05
ACC100293,Account_293,Expense,Inventory,Yes,2019-03-12
ACC100294,Account_294,Expense,Accounts Receivable,Yes,2021-01-10
ACC100295,Account_295,Revenue,Accounts Receivable,Yes,2020-03-12
ACC100296,Account_296,Liability,Sales Revenue,Yes,2022-02-05
ACC100297,Account_297,Expense,Service Revenue,No,2021-07-04
ACC100298,Account_298,Revenue,Cash,Yes,2019-02-05
ACC100299,Account_299,Asset,COGS,Yes,2018-10-02
ACC100300,Account_300,Asset,Fixed Assets,Yes,2015-07-16
ACC100301,Account_301,Asset,COGS,Yes,2018-09-15
ACC100302,Account_302,Revenue,Cash,No,2019-01-31
ACC100303,Account_303,Expense,COGS,Yes,2015-06-29
ACC100304,Account_304,Equity,Accounts Receivable,Yes,2016-01-22
ACC100305,Account_305,Revenue,Long-Term Debt,Yes,2015-11-02
ACC100306,Account_306,Expense,Fixed Assets,Yes,2018-12-15
ACC100307,Account_307,Expense,COGS,Yes,2018-01-08
ACC100308,Account_308,Expense,Fixed Assets,Yes,2016-11-23
ACC100309,Account_309,Liability,Long-Term Debt,Yes,2016-06-17
ACC100310,Account_310,Expense,Owner Equity,Yes,2022-08-15
ACC100311,Account_311,Asset,Fixed Assets,Yes,2019-09-26
ACC100312,Account_312,Revenue,Operating Expense,Yes,2018-10-24
ACC100313,Account_313,Expense,Sales Revenue,Yes,2019-02-12
ACC100314,Account_314,Asset,Long-Term Debt,No,2017-08-31
ACC100315,Account_315,Revenue,Operating Expense,Yes,2018-10-26
ACC100316,Account_316,Revenue,Cash,Yes,2017-06-14
ACC100317,Account_317,Expense,Accounts Receivable,Yes,2019-05-16
ACC100318,Account_318,Expense,Long-Term Debt,Yes,2021-01-01
ACC100319,Account_319,Expense,COGS,Yes,2020-09-13
ACC100320,Account_320,Asset,Long-Term Debt,Yes,2018-04-28
ACC100321,Account_321,Revenue,Operating Expense,Yes,2017-12-12
ACC100322,Account_322,Revenue,Inventory,Yes,2019-12-13
ACC100323,Account_323,Asset,Accounts Receivable,Yes,2016-02-01
ACC100324,Account_324,Liability,Operating Expense,Yes,2019-05-04
ACC100325,Account_325,Asset,Service Revenue,Yes,2020-01-06
ACC100326,Account_326,Asset,Sales Revenue,Yes,2015-06-08
ACC100327,Account_327,Asset,Long-Term Debt,Yes,2022-04-22
ACC100328,Account_328,Asset,Inventory,Yes,2021-11-27
ACC100329,Account_329,Expense,Fixed Assets,Yes,2020-12-25
ACC100330,Account_330,Equity,Cash,No,2019-08-11
ACC100331,Account_331,Liability,Accounts Receivable,Yes,2022-09-11
ACC100332,Account_332,Liability,Owner Equity,Yes,2020-05-08
ACC100333,Account_333,Asset,Operating Expense,Yes,2015-10-07
ACC100334,Account_334,Expense,Operating Expense,Yes,2015-02-02
ACC100335,Account_335,Asset,Long-Term Debt,No,2023-01-04
ACC100336,Account_336,Equity,Accounts Payable,Yes,2020-09-11
ACC100337,Account_337,Revenue,Operating Expense,Yes,2021-05-18
ACC100338,Account_338,Revenue,Fixed Assets,Yes,2020-04-13
ACC100339,Account_339,Expense,Fixed Assets,Yes,2016-05-16
ACC100340,Account_340,Liability,Inventory,No,2021-03-11
ACC100341,Account_341,Liability,Operating Expense,Yes,2022-12-09
ACC100342,Account_342,Equity,Accounts Payable,Yes,2015-04-11
ACC100343,Account_343,Equity,Service Revenue,Yes,2019-10-06
ACC100344,Account_344,Revenue,Long-Term Debt,Yes,2022-11-25
ACC100345,Account_345,Expense,Sales Revenue,Yes,2019-07-23
ACC100346,Account_346,Expense,Operating Expense,Yes,2016-02-10
ACC100347,Account_347,Revenue,Long-Term Debt,Yes,2018-02-18
ACC100348,Account_348,Asset,Inventory,Yes,2020-08-02
ACC100349,Account_349,Asset,Accounts Receivable,No,2017-06-23
ACC100350,Account_350,Equity,Owner Equity,Yes,2019-12-29
ACC100351,Account_351,Asset,COGS,Yes,2021-01-20
ACC100352,Account_352,Liability,Fixed Assets,Yes,2020-10-10
ACC100353,Account_353,Expense,Long-Term Debt,Yes,2016-07-18
ACC100354,Account_354,Liability,Inventory,Yes,2018-06-01
ACC100355,Account_355,Equity,COGS,Yes,2017-06-26
ACC100356,Account_356,Liability,Owner Equity,Yes,2015-11-18
ACC100357,Account_357,Revenue,Long-Term Debt,Yes,2018-10-30
ACC100358,Account_358,Revenue,Sales Revenue,Yes,2019-04-09
ACC100359,Account_359,Equity,Long-Term Debt,Yes,2016-02-07
ACC100360,Account_360,Asset,Fixed Assets,Yes,2017-04-08
ACC100361,Account_361,Equity,Accounts Payable,Yes,2018-03-12
ACC100362,Account_362,Liability,Long-Term Debt,Yes,2016-06-17
ACC100363,Account_363,Liability,Accounts Receivable,Yes,2016-01-22
ACC100364,Account_364,Liability,Owner Equity,Yes,2016-02-25
ACC100365,Account_365,Liability,Inventory,Yes,2017-06-06
ACC100366,Account_366,Asset,Long-Term Debt,Yes,2016-09-21
ACC100367,Account_367,Revenue,Accounts Payable,Yes,2017-04-23
ACC100368,Account_368,Liability,Long-Term Debt,Yes,2019-12-21
ACC100369,Account_369,Revenue,Sales Revenue,Yes,2022-06-02
ACC100370,Account_370,Equity,Inventory,Yes,2021-12-17
ACC100371,Account_371,Revenue,Cash,Yes,2019-11-06
ACC100372,Account_372,Asset,COGS,Yes,2022-07-27
ACC100373,Account_373,Liability,Long-Term Debt,Yes,2019-10-17
ACC100374,Account_374,Liability,Fixed Assets,Yes,2022-08-26
ACC100375,Account_375,Revenue,Accounts Payable,Yes,2021-12-19
ACC100376,Account_376,Equity,Accounts Receivable,Yes,2022-11-09
ACC100377,Account_377,Equity,Long-Term Debt,Yes,2022-01-10
ACC100378,Account_378,Liability,Owner Equity,Yes,2021-02-17
ACC100379,Account_379,Equity,Accounts Receivable,Yes,2022-08-01
ACC100380,Account_380,Expense,Long-Term Debt,No,2017-01-03
ACC100381,Account_381,Revenue,Fixed Assets,Yes,2015-12-28
ACC100382,Account_382,Expense,Long-Term Debt,Yes,2020-04-02
ACC100383,Account_383,Liability,Accounts Receivable,Yes,2021-10-25
ACC100384,Account_384,Liability,Fixed Assets,Yes,2020-01-19
ACC100385,Account_385,Equity,Long-Term Debt,Yes,2016-03-02
ACC100386,Account_386,Asset,Sales Revenue,Yes,2018-08-07
ACC100387,Account_387,Asset,Operating Expense,Yes,2019-06-14
ACC100388,Account_388,Equity,Long-Term Debt,No,2022-11-29
ACC100389,Account_389,Asset,Accounts Receivable,Yes,2015-07-31
ACC100390,Account_390,Revenue,Owner Equity,Yes,2021-04-06
ACC100391,Account_391,Asset,COGS,Yes,2018-12-28
ACC100392,Account_392,Liability,Service Revenue,Yes,2021-12-29
ACC100393,Account_393,Equity,Fixed Assets,Yes,2019-05-21
ACC100394,Account_394,Revenue,Inventory,No,2020-08-29
ACC100395,Account_395,Expense,Operating Expense,Yes,2022-11-25
ACC100396,Account_396,Expense,Long-Term Debt,No,2018-01-30
ACC100397,Account_397,Equity,Long-Term Debt,Yes,2020-02-23
ACC100398,Account_398,Revenue,Long-Term Debt,Yes,2018-06-02
ACC100399,Account_399,Liability,Accounts Payable,Yes,2021-08-16
ACC100400,Account_400,Equity,Service Revenue,No,2015-08-12
ACC100401,Account_401,Liability,Long-Term Debt,Yes,2021-07-03
ACC100402,Account_402,Equity,Accounts Receivable,Yes,2020-03-06
ACC100403,Account_403,Liability,Fixed Assets,Yes,2021-12-11
ACC100404,Account_404,Asset,Long-Term Debt,Yes,2015-01-16
ACC100405,Account_405,Liability,Sales Revenue,Yes,2015-10-25
ACC100406,Account_406,Revenue,Sales Revenue,No,2022-10-18
ACC100407,Account_407,Equity,Owner Equity,Yes,2015-09-18
ACC100408,Account_408,Equity,Cash,Yes,2020-06-13
ACC100409,Account_409,Liability,Fixed Assets,Yes,2017-05-12
ACC100410,Account_410,Expense,Fixed Assets,Yes,2021-11-30
ACC100411,Account_411,Equity,Owner Equity,Yes,2021-07-12
ACC100412,Account_412,Revenue,Owner Equity,Yes,2021-02-26
ACC100413,Account_413,Expense,Sales Revenue,Yes,2023-03-17
ACC100414,Account_414,Asset,Owner Equity,Yes,2017-09-21
ACC100415,Account_415,Liability,Fixed Assets,Yes,2020-08-10
ACC100416,Account_416,Expense,Operating Expense,Yes,2015-10-24
ACC100417,Account_417,Equity,Service Revenue,Yes,2022-04-16
ACC100418,Account_418,Asset,COGS,Yes,2018-09-06
ACC100419,Account_419,Asset,Long-Term Debt,Yes,2021-04-27
ACC100420,Account_420,Liability,Operating Expense,Yes,2022-07-04
ACC100421,Account_421,Asset,Cash,Yes,2022-07-18
